d_m	L_m	m_m	m_ogive	m_payload	m_equipement	m_cruise_res	m_cruise_prop	m_engine_housing	m_acc_res	m_acc_prop	m_nozzle	m_Tails	m_AirIntakes	m_Wings	L_ogive	L_payload	L_equipement	L_cruise_res	L_cruise_prop	L_engine_housing	L_acc_res	L_acc_prop	L_nozzle	L_AirIntakes	L_Tails	L_Wings	Impulsion spécifique	Masse volumique
0.23400	7.42408	670.64657	25	200	55	18.77917	66.58068	10	49.83783	128.15443	12	16	48.68900	40.60546	0.70200	1.55020	0.85261	1.72022	1.54820	0.11700	2.36506	1.65554	0.11700	4.20228	0.23400	0.70200	1403.80000	1000
0.23500	7.39312	672.04838	25	200	55	18.94001	67.15096	10	49.95537	128.45666	12	16	48.80625	40.73913	0.70500	1.53703	0.84537	1.72022	1.54820	0.11750	2.35050	1.64535	0.11750	4.18822	0.23500	0.70500	1403.80000	1000
0.23600	7.36261	673.45617	25	200	55	19.10155	67.72367	10	50.07341	128.76019	12	16	48.92400	40.87336	0.70800	1.52403	0.83822	1.72022	1.54820	0.11800	2.33613	1.63529	0.11800	4.17435	0.23600	0.70800	1403.80000	1000
0.23700	7.33252	674.86995	25	200	55	19.26377	68.29882	10	50.19194	129.06500	12	16	49.04225	41.00817	0.71100	1.51120	0.83116	1.72022	1.54820	0.11850	2.32194	1.62536	0.11850	4.16066	0.23700	0.71100	1403.80000	1000
0.23800	7.30287	676.28970	25	200	55	19.42668	68.87640	10	50.31098	129.37110	12	16	49.16100	41.14354	0.71400	1.49853	0.82419	1.72022	1.54820	0.11900	2.30793	1.61555	0.11900	4.14715	0.23800	0.71400	1403.80000	1000
0.23900	7.27364	677.71543	25	200	55	19.59027	69.45641	10	50.43053	129.67849	12	16	49.28025	41.27949	0.71700	1.48601	0.81731	1.72022	1.54820	0.11950	2.29410	1.60587	0.11950	4.13382	0.23900	0.71700	1403.80000	1000
0.24000	7.24482	679.14714	25	200	55	19.75455	70.03885	10	50.55057	129.98718	12	16	49.40000	41.41600	0.72000	1.47366	0.81051	1.72022	1.54820	0.12000	2.28043	1.59630	0.12000	4.12065	0.24000	0.72000	1403.80000	1000
0.24100	7.21641	680.58483	25	200	55	19.91951	70.62372	10	50.67111	130.29715	12	16	49.52025	41.55309	0.72300	1.46145	0.80380	1.72022	1.54820	0.12050	2.26694	1.58686	0.12050	4.10766	0.24100	0.72300	1403.80000	1000
0.24200	7.18841	682.02850	25	200	55	20.08516	71.21102	10	50.79216	130.60841	12	16	49.64100	41.69074	0.72600	1.44940	0.79717	1.72022	1.54820	0.12100	2.25362	1.57753	0.12100	4.09484	0.24200	0.72600	1403.80000	1000
0.24300	7.16079	683.47815	25	200	55	20.25150	71.80076	10	50.91371	130.92097	12	16	49.76225	41.82897	0.72900	1.43749	0.79062	1.72022	1.54820	0.12150	2.24046	1.56832	0.12150	4.08218	0.24300	0.72900	1403.80000	1000
