d_m	L_m	m_m	m_ogive	m_payload	m_equipement	m_cruise_res	m_cruise_prop	m_engine_housing	m_acc_res	m_acc_prop	m_nozzle	m_Tails	m_AirIntakes	m_Wings	L_ogive	L_payload	L_equipement	L_cruise_res	L_cruise_prop	L_engine_housing	L_acc_res	L_acc_prop	L_nozzle	L_AirIntakes	L_Tails	L_Wings	Impulsion spécifique	Masse volumique
0.23400	7.35683	666.99266	25	200	55	18.17982	64.45572	10	49.57754	127.48511	12	16	48.68900	40.60546	0.70200	1.55020	0.85261	1.66532	1.49879	0.11700	2.35270	1.64689	0.11700	4.13502	0.23400	0.70200	1450.08000	800
0.23500	7.32587	668.36318	25	200	55	18.33553	65.00780	10	49.69285	127.78161	12	16	48.80625	40.73913	0.70500	1.53703	0.84537	1.66532	1.49879	0.11750	2.33815	1.63670	0.11750	4.12097	0.23500	0.70500	1450.08000	800
0.23600	7.29535	669.73954	25	200	55	18.49191	65.56224	10	49.80865	128.07938	12	16	48.92400	40.87336	0.70800	1.52403	0.83822	1.66532	1.49879	0.11800	2.32378	1.62665	0.11800	4.10710	0.23600	0.70800	1450.08000	800
0.23700	7.26527	671.12175	25	200	55	18.64896	66.11903	10	49.92494	128.37841	12	16	49.04225	41.00817	0.71100	1.51120	0.83116	1.66532	1.49879	0.11850	2.30959	1.61671	0.11850	4.09341	0.23700	0.71100	1450.08000	800
0.23800	7.23562	672.50981	25	200	55	18.80666	66.67817	10	50.04172	128.67871	12	16	49.16100	41.14354	0.71400	1.49853	0.82419	1.66532	1.49879	0.11900	2.29558	1.60691	0.11900	4.07990	0.23800	0.71400	1450.08000	800
0.23900	7.20639	673.90371	25	200	55	18.96504	67.23967	10	50.15900	128.98027	12	16	49.28025	41.27949	0.71700	1.48601	0.81731	1.66532	1.49879	0.11950	2.28174	1.59722	0.11950	4.06656	0.23900	0.71700	1450.08000	800
0.24000	7.17757	675.30346	25	200	55	19.12407	67.80352	10	50.27676	129.28310	12	16	49.40000	41.41600	0.72000	1.47366	0.81051	1.66532	1.49879	0.12000	2.26808	1.58766	0.12000	4.05340	0.24000	0.72000	1450.08000	800
0.24100	7.14916	676.70905	25	200	55	19.28377	68.36973	10	50.39502	129.58720	12	16	49.52025	41.55309	0.72300	1.46145	0.80380	1.66532	1.49879	0.12050	2.25459	1.57821	0.12050	4.04041	0.24100	0.72300	1450.08000	800
0.24200	7.12115	678.12049	25	200	55	19.44413	68.93829	10	50.51377	129.89256	12	16	49.64100	41.69074	0.72600	1.44940	0.79717	1.66532	1.49879	0.12100	2.24126	1.56889	0.12100	4.02758	0.24200	0.72600	1450.08000	800
0.24300	7.09354	679.53778	25	200	55	19.60516	69.50921	10	50.63302	130.19918	12	16	49.76225	41.82897	0.72900	1.43749	0.79062	1.66532	1.49879	0.12150	2.22810	1.55967	0.12150	4.01492	0.24300	0.72900	1450.08000	800
0.24400	7.06631	680.96092	25	200	55	19.76685	70.08247	10	50.75275	130.50708	12	16	49.88400	41.96776	0.73200	1.42574	0.78415	1.66532	1.49879	0.12200	2.21510	1.55057	0.12200	4.00242	0.24400	0.73200	1450.08000	800
0.24500	7.03947	682.38990	25	200	55	19.92921	70.65810	10	50.87298	130.81623	12	16	50.00625	42.10713	0.73500	1.41412	0.77777	1.66532	1.49879	0.12250	2.20226	1.54158	0.12250	3.99008	0.24500	0.73500	1450.08000	800
0.24600	7.01300	683.82472	25	200	55	20.09223	71.23608	10	50.99370	131.12666	12	16	50.12900	42.24706	0.73800	1.40265	0.77146	1.66532	1.49879	0.12300	2.18958	1.53270	0.12300	3.97790	0.24600	0.73800	1450.08000	800
0.24700	6.98690	685.26539	25	200	55	20.25591	71.81641	10	51.11491	131.43835	12	16	50.25225	42.38757	0.74100	1.39131	0.76522	1.66532	1.49879	0.12350	2.17705	1.52393	0.12350	3.96587	0.24700	0.74100	1450.08000	800
0.24800	6.96117	686.71191	25	200	55	20.42026	72.39909	10	51.23662	131.75130	12	16	50.37600	42.52864	0.74400	1.38012	0.75906	1.66532	1.49879	0.12400	2.16467	1.51527	0.12400	3.95399	0.24800	0.74400	1450.08000	800
0.24900	6.93579	688.16428	25	200	55	20.58527	72.98414	10	51.35882	132.06552	12	16	50.50025	42.67029	0.74700	1.36905	0.75298	1.66532	1.49879	0.12450	2.15244	1.50671	0.12450	3.94226	0.24900	0.74700	1450.08000	800
0.25000	6.91076	689.62249	25	200	55	20.75094	73.57153	10	51.48150	132.38101	12	16	50.62500	42.81250	0.75000	1.35812	0.74697	1.66532	1.49879	0.12500	2.14035	1.49825	0.12500	3.93067	0.25000	0.75000	1450.08000	800
0.25100	6.88608	691.08655	25	200	55	20.91728	74.16128	10	51.60469	132.69776	12	16	50.75025	42.95529	0.75300	1.34732	0.74103	1.66532	1.49879	0.12550	2.12841	1.48989	0.12550	3.91923	0.25100	0.75300	1450.08000	800
0.25200	6.86174	692.55646	25	200	55	21.08429	74.75338	10	51.72836	133.01578	12	16	50.87600	43.09864	0.75600	1.33665	0.73516	1.66532	1.49879	0.12600	2.11661	1.48163	0.12600	3.90793	0.25200	0.75600	1450.08000	800
0.25300	6.83774	694.03221	25	200	55	21.25196	75.34784	10	51.85253	133.33507	12	16	51.00225	43.24257	0.75900	1.32610	0.72936	1.66532	1.49879	0.12650	2.10496	1.47347	0.12650	3.89677	0.25300	0.75900	1450.08000	800
0.25400	6.81406	695.51380	25	200	55	21.42029	75.94465	10	51.97718	133.65562	12	16	51.12900	43.38706	0.76200	1.31568	0.72363	1.66532	1.49879	0.12700	2.09343	1.46540	0.12700	3.88575	0.25400	0.76200	1450.08000	800
0.25500	6.79071	697.00125	25	200	55	21.58928	76.54382	10	52.10234	133.97743	12	16	51.25625	43.53213	0.76500	1.30538	0.71796	1.66532	1.49879	0.12750	2.08205	1.45743	0.12750	3.87487	0.25500	0.76500	1450.08000	800
0.25600	6.76768	698.49454	25	200	55	21.75894	77.14534	10	52.22798	134.30052	12	16	51.38400	43.67776	0.76800	1.29521	0.71236	1.66532	1.49879	0.12800	2.07080	1.44956	0.12800	3.86411	0.25600	0.76800	1450.08000	800
0.25700	6.74497	699.99368	25	200	55	21.92927	77.74922	10	52.35411	134.62486	12	16	51.51225	43.82397	0.77100	1.28515	0.70683	1.66532	1.49879	0.12850	2.05967	1.44177	0.12850	3.85349	0.25700	0.77100	1450.08000	800
0.25800	6.72257	701.49866	25	200	55	22.10025	78.35545	10	52.48074	134.95048	12	16	51.64100	43.97074	0.77400	1.27520	0.70136	1.66532	1.49879	0.12900	2.04868	1.43408	0.12900	3.84300	0.25800	0.77400	1450.08000	800
0.25900	6.70047	703.00949	25	200	55	22.27191	78.96403	10	52.60786	135.27736	12	16	51.77025	44.11809	0.77700	1.26538	0.69596	1.66532	1.49879	0.12950	2.03782	1.42647	0.12950	3.83264	0.25900	0.77700	1450.08000	800
0.26000	6.67867	704.52617	25	200	55	22.44422	79.57497	10	52.73547	135.60550	12	16	51.90000	44.26600	0.78000	1.25566	0.69061	1.66532	1.49879	0.13000	2.02708	1.41895	0.13000	3.82240	0.26000	0.78000	1450.08000	800
0.26100	6.65717	706.04869	25	200	55	22.61720	80.18826	10	52.86358	135.93492	12	16	52.03025	44.41449	0.78300	1.24606	0.68533	1.66532	1.49879	0.13050	2.01646	1.41152	0.13050	3.81228	0.26100	0.78300	1450.08000	800
0.26200	6.63596	707.57706	25	200	55	22.79085	80.80391	10	52.99218	136.26559	12	16	52.16100	44.56354	0.78600	1.23656	0.68011	1.66532	1.49879	0.13100	2.00596	1.40418	0.13100	3.80228	0.26200	0.78600	1450.08000	800
0.26300	6.61503	709.11128	25	200	55	22.96515	81.42191	10	53.12126	136.59754	12	16	52.29225	44.71317	0.78900	1.22718	0.67495	1.66532	1.49879	0.13150	1.99559	1.39691	0.13150	3.79241	0.26300	0.78900	1450.08000	800
0.26400	6.59439	710.65134	25	200	55	23.14013	82.04226	10	53.25085	136.93075	12	16	52.42400	44.86336	0.79200	1.21790	0.66984	1.66532	1.49879	0.13200	1.98533	1.38973	0.13200	3.78265	0.26400	0.79200	1450.08000	800
0.26500	6.57403	712.19725	25	200	55	23.31576	82.66497	10	53.38092	137.26522	12	16	52.55625	45.01413	0.79500	1.20872	0.66480	1.66532	1.49879	0.13250	1.97519	1.38263	0.13250	3.77301	0.26500	0.79500	1450.08000	800
0.26600	6.55394	713.74900	25	200	55	23.49206	83.29004	10	53.51149	137.60096	12	16	52.68900	45.16546	0.79800	1.19965	0.65981	1.66532	1.49879	0.13300	1.96516	1.37561	0.13300	3.76348	0.26600	0.79800	1450.08000	800
0.26700	6.53412	715.30661	25	200	55	23.66903	83.91745	10	53.64254	137.93797	12	16	52.82225	45.31737	0.80100	1.19068	0.65488	1.66532	1.49879	0.13350	1.95524	1.36867	0.13350	3.75406	0.26700	0.80100	1450.08000	800
0.26800	6.51457	716.87006	25	200	55	23.84665	84.54723	10	53.77409	138.27624	12	16	52.95600	45.46984	0.80400	1.18181	0.65000	1.66532	1.49879	0.13400	1.94544	1.36181	0.13400	3.74476	0.26800	0.80400	1450.08000	800
0.26900	6.49528	718.43935	25	200	55	24.02495	85.17935	10	53.90614	138.61578	12	16	53.09025	45.62289	0.80700	1.17304	0.64517	1.66532	1.49879	0.13450	1.93574	1.35502	0.13450	3.73556	0.26900	0.80700	1450.08000	800
0.27000	6.47625	720.01449	25	200	55	24.20390	85.81383	10	54.03867	138.95659	12	16	53.22500	45.77650	0.81000	1.16437	0.64040	1.66532	1.49879	0.13500	1.92615	1.34831	0.13500	3.72647	0.27000	0.81000	1450.08000	800
0.27100	6.45747	721.59548	25	200	55	24.38352	86.45067	10	54.17170	139.29866	12	16	53.36025	45.93069	0.81300	1.15579	0.63569	1.66532	1.49879	0.13550	1.91667	1.34167	0.13550	3.71749	0.27100	0.81300	1450.08000	800
0.27200	6.43895	723.18232	25	200	55	24.56381	87.08986	10	54.30522	139.64199	12	16	53.49600	46.08544	0.81600	1.14731	0.63102	1.66532	1.49879	0.13600	1.90729	1.33511	0.13600	3.70861	0.27200	0.81600	1450.08000	800
0.27300	6.42067	724.77500	25	200	55	24.74475	87.73140	10	54.43923	139.98660	12	16	53.63225	46.24077	0.81900	1.13892	0.62641	1.66532	1.49879	0.13650	1.89802	1.32861	0.13650	3.69984	0.27300	0.81900	1450.08000	800
0.27400	6.40263	726.37353	25	200	55	24.92637	88.37530	10	54.57374	140.33246	12	16	53.76900	46.39666	0.82200	1.13062	0.62184	1.66532	1.49879	0.13700	1.88885	1.32219	0.13700	3.69117	0.27400	0.82200	1450.08000	800
0.27500	6.38483	727.97790	25	200	55	25.10864	89.02155	10	54.70873	140.67960	12	16	53.90625	46.55313	0.82500	1.12242	0.61733	1.66532	1.49879	0.13750	1.87977	1.31584	0.13750	3.68259	0.27500	0.82500	1450.08000	800
0.27600	6.36728	729.58812	25	200	55	25.29158	89.67016	10	54.84422	141.02800	12	16	54.04400	46.71016	0.82800	1.11430	0.61286	1.66532	1.49879	0.13800	1.87080	1.30956	0.13800	3.67412	0.27600	0.82800	1450.08000	800
0.27700	6.34995	731.20419	25	200	55	25.47519	90.32112	10	54.98020	141.37767	12	16	54.18225	46.86777	0.83100	1.10627	0.60845	1.66532	1.49879	0.13850	1.86192	1.30334	0.13850	3.66574	0.27700	0.83100	1450.08000	800
0.27800	6.33285	732.82611	25	200	55	25.65946	90.97443	10	55.11668	141.72860	12	16	54.32100	47.02594	0.83400	1.09832	0.60408	1.66532	1.49879	0.13900	1.85314	1.29720	0.13900	3.65746	0.27800	0.83400	1450.08000	800
