d_m	L_m	m_m	m_ogive	m_payload	m_equipement	m_cruise_res	m_cruise_prop	m_engine_housing	m_acc_res	m_acc_prop	m_nozzle	m_Tails	m_AirIntakes	m_Wings	L_ogive	L_payload	L_equipement	L_cruise_res	L_cruise_prop	L_engine_housing	L_acc_res	L_acc_prop	L_nozzle	L_AirIntakes	L_Tails	L_Wings	Impulsion spécifique	Masse volumique
0.56900	6.36451	1802.65630	25	200	55	164.82071	584.36433	10	140.63256	361.62658	12	16	115.94025	117.27189	1.70700	0.26218	0.14420	2.55345	2.29810	0.28450	1.12869	0.79008	0.28450	3.96664	0.56900	1.70700	945.72000	1300
0.57000	6.36607	1807.21472	25	200	55	165.40055	586.42014	10	141.00031	362.57222	12	16	116.22500	117.59650	1.71000	0.26126	0.14369	2.55345	2.29810	0.28500	1.12768	0.78937	0.28500	3.96612	0.57000	1.71000	945.72000	1300
0.57100	6.36764	1811.78114	25	200	55	165.98141	588.47956	10	141.36871	363.51953	12	16	116.51025	117.92169	1.71300	0.26034	0.14319	2.55345	2.29810	0.28550	1.12667	0.78867	0.28550	3.96561	0.57100	1.71300	945.72000	1300
0.57200	6.36923	1816.35557	25	200	55	166.56329	590.54259	10	141.73775	364.46850	12	16	116.79600	118.24744	1.71600	0.25943	0.14269	2.55345	2.29810	0.28600	1.12566	0.78796	0.28600	3.96511	0.57200	1.71600	945.72000	1300
0.57300	6.37083	1820.93801	25	200	55	167.14619	592.60922	10	142.10744	365.41913	12	16	117.08225	118.57377	1.71900	0.25853	0.14219	2.55345	2.29810	0.28650	1.12466	0.78726	0.28650	3.96461	0.57300	1.71900	945.72000	1300
0.57400	6.37244	1825.52844	25	200	55	167.73011	594.67947	10	142.47778	366.37142	12	16	117.36900	118.90066	1.72200	0.25763	0.14170	2.55345	2.29810	0.28700	1.12367	0.78657	0.28700	3.96411	0.57400	1.72200	945.72000	1300
0.57500	6.37406	1830.12688	25	200	55	168.31504	596.75333	10	142.84876	367.32538	12	16	117.65625	119.22813	1.72500	0.25673	0.14120	2.55345	2.29810	0.28750	1.12268	0.78587	0.28750	3.96362	0.57500	1.72500	945.72000	1300
0.57600	6.37570	1834.73333	25	200	55	168.90100	598.83080	10	143.22038	368.28099	12	16	117.94400	119.55616	1.72800	0.25584	0.14071	2.55345	2.29810	0.28800	1.12169	0.78518	0.28800	3.96314	0.57600	1.72800	945.72000	1300
0.57700	6.37734	1839.34778	25	200	55	169.48797	600.91188	10	143.59266	369.23826	12	16	118.23225	119.88477	1.73100	0.25496	0.14023	2.55345	2.29810	0.28850	1.12071	0.78450	0.28850	3.96266	0.57700	1.73100	945.72000	1300
0.57800	6.37900	1843.97024	25	200	55	170.07596	602.99657	10	143.96558	370.19720	12	16	118.52100	120.21394	1.73400	0.25408	0.13974	2.55345	2.29810	0.28900	1.11974	0.78382	0.28900	3.96219	0.57800	1.73400	945.72000	1300
0.57900	6.38068	1848.60070	25	200	55	170.66496	605.08487	10	144.33914	371.15779	12	16	118.81025	120.54369	1.73700	0.25320	0.13926	2.55345	2.29810	0.28950	1.11877	0.78314	0.28950	3.96172	0.57900	1.73700	945.72000	1300
0.58000	6.38236	1853.23917	25	200	55	171.25499	607.17677	10	144.71335	372.12005	12	16	119.10000	120.87400	1.74000	0.25233	0.13878	2.55345	2.29810	0.29000	1.11781	0.78246	0.29000	3.96125	0.58000	1.74000	945.72000	1300
0.58100	6.38406	1857.88564	25	200	55	171.84603	609.27229	10	145.08821	373.08397	12	16	119.39025	121.20489	1.74300	0.25146	0.13830	2.55345	2.29810	0.29050	1.11685	0.78179	0.29050	3.96079	0.58100	1.74300	945.72000	1300
0.58200	6.38576	1862.54011	25	200	55	172.43809	611.37142	10	145.46371	374.04955	12	16	119.68100	121.53634	1.74600	0.25060	0.13783	2.55345	2.29810	0.29100	1.11589	0.78113	0.29100	3.96034	0.58200	1.74600	945.72000	1300
0.58300	6.38748	1867.20259	25	200	55	173.03117	613.47416	10	145.83986	375.01679	12	16	119.97225	121.86837	1.74900	0.24974	0.13735	2.55345	2.29810	0.29150	1.11494	0.78046	0.29150	3.95989	0.58300	1.74900	945.72000	1300
0.58400	6.38921	1871.87308	25	200	55	173.62527	615.58051	10	146.21666	375.98568	12	16	120.26400	122.20096	1.75200	0.24888	0.13688	2.55345	2.29810	0.29200	1.11400	0.77980	0.29200	3.95945	0.58400	1.75200	945.72000	1300
0.58500	6.39096	1876.55157	25	200	55	174.22039	617.69046	10	146.59410	376.95625	12	16	120.55625	122.53413	1.75500	0.24803	0.13642	2.55345	2.29810	0.29250	1.11306	0.77914	0.29250	3.95901	0.58500	1.75500	945.72000	1300
0.58600	6.39271	1881.23806	25	200	55	174.81652	619.80403	10	146.97218	377.92847	12	16	120.84900	122.86786	1.75800	0.24719	0.13595	2.55345	2.29810	0.29300	1.11213	0.77849	0.29300	3.95857	0.58600	1.75800	945.72000	1300
0.58700	6.39448	1885.93256	25	200	55	175.41367	621.92121	10	147.35091	378.90235	12	16	121.14225	123.20217	1.76100	0.24634	0.13549	2.55345	2.29810	0.29350	1.11120	0.77784	0.29350	3.95814	0.58700	1.76100	945.72000	1300
0.58800	6.39625	1890.63506	25	200	55	176.01184	624.04199	10	147.73029	379.87789	12	16	121.43600	123.53704	1.76400	0.24551	0.13503	2.55345	2.29810	0.29400	1.11027	0.77719	0.29400	3.95772	0.58800	1.76400	945.72000	1300
0.58900	6.39804	1895.34557	25	200	55	176.61103	626.16639	10	148.11032	380.85510	12	16	121.73025	123.87249	1.76700	0.24467	0.13457	2.55345	2.29810	0.29450	1.10935	0.77655	0.29450	3.95730	0.58900	1.76700	945.72000	1300
0.59000	6.39984	1900.06408	25	200	55	177.21124	628.29440	10	148.49098	381.83396	12	16	122.02500	124.20850	1.77000	0.24385	0.13412	2.55345	2.29810	0.29500	1.10843	0.77590	0.29500	3.95688	0.59000	1.77000	945.72000	1300
0.59100	6.40165	1904.79060	25	200	55	177.81247	630.42601	10	148.87230	382.81449	12	16	122.32025	124.54509	1.77300	0.24302	0.13366	2.55345	2.29810	0.29550	1.10752	0.77527	0.29550	3.95647	0.59100	1.77300	945.72000	1300
0.59200	6.40347	1909.52512	25	200	55	178.41471	632.56124	10	149.25426	383.79667	12	16	122.61600	124.88224	1.77600	0.24220	0.13321	2.55345	2.29810	0.29600	1.10662	0.77463	0.29600	3.95606	0.59200	1.77600	945.72000	1300
0.59300	6.40531	1914.26765	25	200	55	179.01797	634.70008	10	149.63687	384.78052	12	16	122.91225	125.21997	1.77900	0.24138	0.13276	2.55345	2.29810	0.29650	1.10572	0.77400	0.29650	3.95566	0.59300	1.77900	945.72000	1300
0.59400	6.40715	1919.01818	25	200	55	179.62225	636.84252	10	150.02012	385.76603	12	16	123.20900	125.55826	1.78200	0.24057	0.13231	2.55345	2.29810	0.29700	1.10482	0.77337	0.29700	3.95526	0.59400	1.78200	945.72000	1300
0.59500	6.40901	1923.77672	25	200	55	180.22755	638.98858	10	150.40402	386.75320	12	16	123.50625	125.89713	1.78500	0.23976	0.13187	2.55345	2.29810	0.29750	1.10392	0.77275	0.29750	3.95487	0.59500	1.78500	945.72000	1300
