d_m	L_m	m_m	m_ogive	m_payload	m_equipement	m_cruise_res	m_cruise_prop	m_engine_housing	m_acc_res	m_acc_prop	m_nozzle	m_Tails	m_AirIntakes	m_Wings	L_ogive	L_payload	L_equipement	L_cruise_res	L_cruise_prop	L_engine_housing	L_acc_res	L_acc_prop	L_nozzle	L_AirIntakes	L_Tails	L_Wings	Impulsion spécifique	Masse volumique
0.51400	6.01390	1488.89360	25	200	55	122.13195	433.01327	10	116.03298	298.37053	12	16	101.04900	100.29586	1.54200	0.32129	0.17671	2.31869	2.08682	0.25700	1.14122	0.79885	0.25700	3.71691	0.51400	1.54200	1041.47000	1600
0.51500	6.01459	1492.71820	25	200	55	122.60763	434.69979	10	116.34431	299.17109	12	16	101.30625	100.58913	1.54500	0.32004	0.17602	2.31869	2.08682	0.25750	1.13984	0.79789	0.25750	3.71603	0.51500	1.54500	1041.47000	1600
0.51600	6.01530	1496.55023	25	200	55	123.08424	436.38958	10	116.65625	299.97320	12	16	101.56400	100.88296	1.54800	0.31880	0.17534	2.31869	2.08682	0.25800	1.13847	0.79693	0.25800	3.71516	0.51600	1.54800	1041.47000	1600
0.51700	6.01603	1500.38970	25	200	55	123.56177	438.08266	10	116.96878	300.77687	12	16	101.82225	101.17737	1.55100	0.31757	0.17466	2.31869	2.08682	0.25850	1.13711	0.79598	0.25850	3.71430	0.51700	1.55100	1041.47000	1600
0.51800	6.01678	1504.23661	25	200	55	124.04023	439.77900	10	117.28193	301.58210	12	16	102.08100	101.47234	1.55400	0.31634	0.17399	2.31869	2.08682	0.25900	1.13576	0.79503	0.25900	3.71345	0.51800	1.55400	1041.47000	1600
0.51900	6.01755	1508.09094	25	200	55	124.51961	441.47863	10	117.59568	302.38888	12	16	102.34025	101.76789	1.55700	0.31513	0.17332	2.31869	2.08682	0.25950	1.13441	0.79409	0.25950	3.71260	0.51900	1.55700	1041.47000	1600
0.52000	6.01833	1511.95271	25	200	55	124.99992	443.18154	10	117.91003	303.19722	12	16	102.60000	102.06400	1.56000	0.31392	0.17265	2.31869	2.08682	0.26000	1.13307	0.79315	0.26000	3.71176	0.52000	1.56000	1041.47000	1600
0.52100	6.01913	1515.82192	25	200	55	125.48115	444.88772	10	118.22499	304.00712	12	16	102.86025	102.36069	1.56300	0.31271	0.17199	2.31869	2.08682	0.26050	1.13174	0.79222	0.26050	3.71093	0.52100	1.56300	1041.47000	1600
0.52200	6.01996	1519.69856	25	200	55	125.96331	446.59718	10	118.54056	304.81857	12	16	103.12100	102.65794	1.56600	0.31151	0.17133	2.31869	2.08682	0.26100	1.13042	0.79129	0.26100	3.71011	0.52200	1.56600	1041.47000	1600
0.52300	6.02080	1523.58264	25	200	55	126.44639	448.30992	10	118.85673	305.63158	12	16	103.38225	102.95577	1.56900	0.31032	0.17068	2.31869	2.08682	0.26150	1.12911	0.79037	0.26150	3.70929	0.52300	1.56900	1041.47000	1600
0.52400	6.02166	1527.47415	25	200	55	126.93039	450.02594	10	119.17350	306.44615	12	16	103.64400	103.25416	1.57200	0.30914	0.17003	2.31869	2.08682	0.26200	1.12780	0.78946	0.26200	3.70849	0.52400	1.57200	1041.47000	1600
0.52500	6.02253	1531.37309	25	200	55	127.41532	451.74523	10	119.49088	307.26227	12	16	103.90625	103.55313	1.57500	0.30796	0.16938	2.31869	2.08682	0.26250	1.12650	0.78855	0.26250	3.70769	0.52500	1.57500	1041.47000	1600
0.52600	6.02343	1535.27947	25	200	55	127.90118	453.46781	10	119.80887	308.07995	12	16	104.16900	103.85266	1.57800	0.30679	0.16874	2.31869	2.08682	0.26300	1.12520	0.78764	0.26300	3.70689	0.52600	1.57800	1041.47000	1600
